Žuta lala; dušo,Žuta lala; dušo; žuta lala; srce;žuta lala; moj dragane;Kajtazova Najla.Bil đul-behar; dušo; bil đul-behar; srce;bil đul-behar; moj dragane;Kajtazova Zejna;a karanfil; dušo; a karanfil; srce;a karanfil; moj dragane;Ugljenova Dika.Gondže ruža; dušo; gondže ruža; srce.gondže ruža; moj dragane;Čelebića Duda.Katmer ruža; dušo; katmer ruža; srce;katmer ruža; moj dragane;Čelebića Zilka;a mušketim; dušo; a mušketim; srce;a mušketim; moj dragane;Čelebića Đula.Carev’ oko; dušo; carev’ oko; srce;carev’ oko; moj dragane;Muftijina Biba.Katmer šeboj; dušo; katmer šeboj; srce;katmer šeboj; moj dragane;Osman-age Vasva.Zimi-zelen dušo; zimi-zelen; srce;zimi- zelen; moj dragane;Dervišage Đula.Plavi sumbul; dušo; plavi sumbul; srceplavi sumbul; moj dragane.Temimova Ajša;a zerina; dušo; a zerina; srce;a zerina; moj dragane;Deronjica Duda.Šeboj-tuba; dušo; šeboj-tuba; srce;šeboj-tuba; moj dragane;Mujagina Fata.
Žarko sunce što si zakasnilo?,Žarko sunce što si zakasnilo?-Zakasnilo jade gledajući;dje Alibeg vjernu ljubu karašto prošeta ispred dvora bosa.
Žarko sunce; na visoko ti si,Žarko sunce; na visoko ti si!Ah; moj dragi; na daleko ti si!Žarko sunce; pospusti se niže;a; moj dragi; primakni se bližeda ti prečnem oke na jagluke;a brčiće na jagluk drščice;ime tvoje na rukave moje;a ti moje na oružje svoje!Kad pogledam na rukave svoje;nek mi pane na um ime tvoje.Kad pogledaš na oružje svoje;nek ti pane na um ime moje.
Zv’jezdo Dano; što ’no raniš rano,”Zv’jezdo Dano; što ’no raniš rano;gdje si bila; gdje si dangubila?””Gledala sam gdje se braća d’jele.D’jeliše se; ne pokaraše se!”
Zv’jezda tjera mjeseca,Zv’jezda tjera mjeseca;za goru ga otjera;za goricom vodica;na vodici curica;b’jelo lice umiva.”Daj mi malo vodiceiz te b’jele ručice!””Ne dam; dragi; ni kapi;nek’ ti duša iskapi;zbog sinoćnje besjede!Zbog sinoćnje besjedei rumene jabuke.Drugoj daješ rumene;meni mladoj uvehle;uvehla ti duša ta!”
Zove majka pašu Sokoliju,Zove majka pašu Sokoliju;s vrh Zlatara; viš’ Sokolovića:”Moj Mehmede; nad carstvom vezire;vodiš vojsku Šamu i Bagdadu;tvrdom Beču i ravnom Budimu;svoju Bosnu nikad ne pohodiš;a ja stara hoću umrijeti.Moj Mehmede; sine moj ponosni;dovedi mi s mora neimare;gradi meni po Bosni haire;obuzdaj mi pobješnjelu Drinu;ćuprijom joj sastavi obale;izgradi mi karavan-saraje;nek’ se znade koga sam rodila!”
Zora zori; p’jetli poju,”Zora zori; p’jetli poju;pusti me; draga moja;da idem!””Nije zora; već je hora;ostani; dilber-dragi;kraj mene””Ezan uči sa munare;pusti me; zlato moje;da idem!””Nije ezan; već Murtezan;prilegni; dilber-dragi;kraj mene!”
Zora rudi; majka sina budi,Zora rudi; majka sina budi:”Ustaj sine; prolaze djevojke!””Nek prolaze; moja proći neće.Sinoć sam joj pod pendžerom bio;i b’jelo joj lice obljubio!”
Znaš li; dragi; kad se zagledasmo,Znaš li; dragi; kad se zagledasmo;jedno drugom vjeru zadavasmo.Tvrđa bješe vjera od kamena;danas nam je mekša od pamuka;jer si; dragi; vjerom prevrnuo;bolesnog te prevrtala majka!Svud ti majka lijeka tražila;i od mene i od moje majke.Ja imala; ja ti ga ne dala;već ti dala od čeg’ boli glava:čubre trave i koprive šare.
Zmaj prileti s Bosne na Dunavo,Zmaj prileti s Bosne na Dunavoi pronese pod krilom djevojku;a pod krilom ruho djevojačko.Kad je zmaju žega dodijala;baci zlato u zelenu travu;b’jelo ruho na jelovu granu;dade zlatu od zlata maštrafu;posla zlato za goru; na vodu;a na gori tri junaka mlada.Jedan veli: "L’jepe li djevojke"-Drugi veli: "Da je oljubimo;"-Treći veli: "Da je upitamo;čijeg li je soja i plemena!"-Njima zlato samo odgovara:Ja sam ćerka age Tefterdara;A unuka sa Bosne vezira;Vjerna ljuba zmaja žestokoga.
Zmaj od Bosne,Sa Gradačca; b’jele kule Zmaja od Bosne;sokolovi zakliktali kajde žalosne.Umrla je vjerna ljuba Husein-begovajer izgubi gospodara srca svojega.Osedl’o je vranca svoga Husein-kapetan;odjezdio Romaniji pod’jelit’ mejdan.Na čardaku vjerna ljuba; Allah-illallah;klanjala je; plakala je; haber čekala.Pod pendžere glasnik stiže srca žalosnog:”Udaji se; vjerna ljubo; nema bega tvog!”Od sevdaha i žalosti; kraj pendžera svog;prepuče joj bolno srce; neće za drugog.Sa džamije Husejnije uči mujezin;sa čardaka i bedema plaču sokoli.Do Stambola odjekuju kajde žalosne;pusta osta b’jela kula Zmaja od Bosne.
Zlato Mara platno bijelila,Zlato Mara platno bijelilana jaliji; nasred Sarajeva.Tri dilbera konje natjeraše;bijelo joj platno pogaziše.Govorila materina Mara:Karaće me moja mila majka;što ste meni pogazili platno!Tri dilbera konje zastavišei ovako Mari govoriše:Biraj; Maro; koga ćeš junaka;a za tvoje prebijelo platno!
Zlatni topi na gradu pukoše,Zlatni topi na gradu pukoše;l’jepoj Ajši krnu postaviše.”L’jepa Ajšo; je l’ ti žao majke?””Što će meni biti žao majke?U mog dragog bolju majku kažu!”
Zeman; druge; da se rastajemo,Zeman; druge; da se rastajemo;gdje rekosmo da se sastajemo!Neko dvoru; neko dragom svomea ja nemam dvora ni dragoga.Bili dvori; pa se salomili;dragi bio; pa se oženio!
Zeleno drvce niz more pliva,Zeleno drvce niz pliva;Gradu se boji gradski dizdare;-Ne boj se gradu; gradski dizdare;Ja nisam poš’o dragu obići.U tuđoj zemlji moja djevojka.Jedni mi kažu da je bolesna;Drugi mi kažu da je umrla.
Zelena mi se gora,Zelena mi se gora porušila;Studenim se kamenom zasula.Tu je mnoga četa izginulaDo dva brata; dva Filipovića;Dva sestrića; dva Ogroševića;I prilipi Beštić Mehmed-aga.Koga žali bratac; kog’ sestrica.Mehmed-age niko žalit nema;Do li mlada Hasanbegovica.Ona ga je mlada ožalila;Sve po kuli roblje porušilaI na sebi dibu izvrnula;Ćerku Mejru u crno zavila.Kada dođe beže Hasan-beže;Čizme skida; a za roblje pita:”Ah; boga m’ ti; moja vjerna ljubo;Što s’ po kuli roblje porušila;Što s’ na sebi dibu izvrnula;Što si Mejru u crno zavila?”” Ah; boga m’ ti beže Hasan-beže;Eto sablje; eto moja glava.Sinoć se je gora porušila;U gori je velik ogrom bio;Studenim se kamenom zasula.U gori je četa izginula:Do dva brata; dva Filipovića;Dva sestrića; dva Ogroševića;I prilipi Beštić Mehmed-aga.Nekog žali bratac il’ sestrica;Mehmed-age niko žalit’ nema;Pa ga moram mlada ožalitiJerbo mi je prvi ašik bio.””Bre; aferim; moja vjerno ljubo;I meni je prvi jaran bio.”
Zelen sokak poplavila Sava,Zelen sokak potopila Sava;a mog dragog zaboljela glava.Ja mu nosim vina iz Vidinai rakije iz Demir-kapije;i duhana iz nova dućana;i daću mu prebijelo licene bi li mi ozdravio dragi.
Zelen orah od roda se savio,Zelen orah od roda se savija;Pod orahom Mujo rane previja:"Žarko sunce; selam ćeš mi materi;Nek mi mezar pod orahom napravi;Draga mi se za drugoga udala;Da Bog da joj zmija oči popila."
Zašto svićeš tako rano,Zašto svićeš tako rano;rujna zoro; s puno sjaja;što mi budiš zlato mojeiz najljepšeg zagrljaja?Što se zoro ne sakriješ;i nepustiš noć na miru;da još jednom ljubim zlatošto mi leži na mom krilu?Samo tihi povjeteracnek’ nam svoje čari pruža;a noć tiha; tako duga;nek nam pruža miris ruža!
Zaspo mi je dragi,Zasp’o mi je dragi u zelenoj travi;Oko njega vile kolo uhvatile.Prođ’te me se; vile; moje posestrime;Nije meni; vile; do vašeg pivanja;Već je meni; vile; do mojega jada.
Zaspala djevojka,Zaspala djevojkabr’jegu na kamenu.Siv je soko budi:”Ustani; djevojko;sabah će ti proći;dragi će ti doći!””Nek’ mi sabah prođe;dragi nek’ mi dođe!”
Zarobljeno srce moje,Zarobljeno srce moje;prelazeći br’jeg i do.Tražilom je ne bi l’ našloda ublaži srcu bol.Uzalud mi želja moja;uzalud mi nade sve;kad ne smijem ljubit’ onu;za kojom mi duša mre.
Zareče se Šarića kaduna,Zareče se Šarića kaduna;u mahali među hanumama:"Jes' tako mi dina i imana;i tako mi šehri Ramazana;sagradit ću mekteb i munaru;i veliki sahat u Mostaru;nek' se čuje preko Bišća ravna;Velagića i Blagaja grada;a da nije Bisine čulo bi i Nevesinje!"
Zar s’ s’ udala kuno,”Zar s’ s’ udala kuno;Zar s’ s’ udala; kuno moja?”uh ; jadna gora zelena!”Jesam; bogme; seko;Jesam; bogme; sestro moja.””Za koga si; kuno;Za koga si; kuno moja?””Za pašića; seko;Za pašića; sestro moja.””Išta ruha; kuno;Išta ruha; kuno moja?””Devet sanduk’; seko;Devet sanduk’; sestro moja.””Šta ćeš svekru; kuno;Šta ćeš svekru; kuno moja?””Boščaluk jedan; seko;Boščaluk jedan; sestro moja.””A svekrvi; kuno;A svekrvi; kuno moja?””Jemeniju; seko;Jemeniju; sestro moja.””Šta diveru; seko;Šta diveru; sestro moja?””Maramicu; seko;Maramicu; sestro moja.””Šta ćeš za’vi; seko;Šta ćeš za’vi; sestro moja?””Cipalice; seko;Cipalice; sestro moja.”
Zaprosio Alija,Zaprosio Alijau matere Sevliju;ne da majka Sevliju;već mu daje Hajriju.Neće Hajra da radi;već se s majkom inadi.Kad to čuo Alija;on poteže handžara;pa udari Hajrijuposred prsa; kraj srca.
Zaplakala stara majka,Zaplakala stara majka Džafer-begova:”Džafer-beže; ludo d’jete; šta mi dovede?Dovede mi ludo mlado; neće da rodi;sve se b’jeli i rumeni i ašikuje.”Naljuti se Džafer-beže; ode na čardak.Na čardaku ljubu nađe; podne klanjaše.Sablja zveknu; ljuba jeknu; čedo proplaka!”Šta učini; Džafer-beže ja se šalila!””Eto; majko; tvoga grijeha; tvoga i moga;više tvoga nego moga; tako mi Boga!”
Zaplakala šećer-Đula,Zaplakala šećer-Đula;Osman-paše; vjerna ljuba:”Moj Osmane; gdje si bio;gdje si vojsku izgubio?””Evo mene; Đulo mlada;pokraj Plevna; starog grada;što mi care vojske dade;sve mi; Đulo; za din pade.Ja sam; Đulo; ropstva pao;britku sablju otpasao;pa sad nemam nikog svoga;osima Boga jedinoga.Đogo mi je oćorio;a ja; Đulo; obolio.Kad mi đogo gladan hrže;ja se; Đulo; vezan tržem.Đulo mlada; preudaj se;meni nikad ne nadaj se.Dušman me je zarobio;zauvijek nas rastavio!”
Zaplakala moja draga,Zaplakala moja dragarano u zoru;rosno cv’jeće zaljevala;na svom prozoru.Volio sam kose njene;usne rumene;al’ je njena stara majkane da za mene.Jesen ide; jesen rana;kiše padaju;po moju se milu dragusvati spremaju.
Zapjevala bulbul ptica,1. verzija:Zapjevala bulbul ptica;misli zora je:”Ustaj; Fato; ustaj zlato;spremaj darove!””Ja sam mlada i sirota;nemam darova.””Kad si mlada i sirota;što se udaješ?””Udala me stara majka;nisam ni znala:kad mi kosu raspletoše;mislim petak je;Kad mi svilu obukoše;mislim Bajram je;kad mi prsten natakoše;mislim šala je;kad mi drago uvedoše;mislim brat mi je!”2. verzija:Zapjevala bulbul ptica;misli: zora je.- Ustaj; Fato; ustaj; zlato;dijeli darove!- Ja sam mlada; ja sam luda;ja ne umijem.- Kad si luda; kad si mlada;Što se udaješ?Udala me stara majka;nisam ni znala.
Zapio se mlad Mustaj-beg Dukatarević,Zapio se mlad Mustaj-beg Dukatarević;pa on propi sto dukata sve zajedan dan;i svog ata zlatna rahta i po Budima.Njega kara Salih-paša; Bosne gospodar:”Šta je tebi; mlad Mustaj-beg Dukatarević;pa ti propi sto dukata sve zajedan dan;i svog ata zlatna rahta i po Budima?””Ne karaj me; Salih-paša; Bosne gospodar;da ti ljubiš ono zlato; koje ljubim ja;propio bi sto dukata sve zajedan dan;i svog ata zlatna rahta i sav Budim grad!Ako njeno; drag vezire; lice ne vidim;šta će meni ravan Srijem; Pešta i Budim!”
Zaovica pita nevjesticu,Zaovica pita nevjesticu:Nevjestice; gondže od ružice;Jesi l’ bl’jeda ti kod majke bila-Il’ pobl’jedi kako ’vamo dođe?-Nisam bl’jeda ja kod majke bila;Već pobl’jedi’ kako ’vamo dođo’:Svekar dužan; đuvegija ružan.Da je svekar na hiljade dužan;Sam’ da nije đuvegija ružan.Svekar će se duga odužiti;Đuvegija uvijek ružan biti.
Zakukala šarka ptica,Zakukala šarka ptica;perja šarena;u perje se savijalaod zla vremena.Kao moma u zla dobaprve godine;sve joj druge propjevaše;ona ne pjeva.Prodj’te me se drugarice;ja sam žalosna;dragi mi se oženio;kog’ sam voljela!
Vrbas voda nosila jablana,1. verzija:Vrbas voda nosila jablana;Na jablanu kuje kujundžija.”Kujundžija; tako ti zanata;skuj ti meni od zlata junaka!Nemoj plava; tako ti zanata;vec garava k’o što sam i sama!”2. verzija:Vrbas voda nosila jablana;na jablanu kujundžija Mujo.Njemu veli ljepotica Fata:Kujundžija; tvojeg ti zanata;sakuj meni od zlata junaka.Nemoj plava; tako ti musafa;već garava ko što sam i sama;ja za plava ne bih groša dala!
